inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.0 , 0.02998528 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.4 , 0.88991 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.6 , 0.9878718 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.7 , 0.4371946 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.7 , 0.9347988 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.9 , 0.9332900000000001 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 1.0 , 0.414651 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.4 , 0.9013182 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.6 , 0.9349438 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.6 , 0.9110392 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.0 , 1.228028 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.0 , 1.299306 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.1 , 1.336012 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.1 , 1.336682 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.2 , 1.208406 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.2 , 1.266656 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.3 , 1.287354 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.3 , 1.248662 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.4 , 1.3398299999999999 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.4 , 1.2279579999999999 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.5 , 0.6405959999999999 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.5 , 1.308496 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.5 , 1.23957 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.6 , 1.206912 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.7 , 0.5628358 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.7 , 1.187702 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.7 , 1.240922 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.8 , 1.3025339999999999 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.9 , 1.261462 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.9 , 1.301542 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 1.0 , 0.5931658 , 0
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 1.0 , 1.254952 , 0
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.0; crossover_prob = 0.9 , 0.888508 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.0 , 0.4220746 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.0 , 0.8726388 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.0 , 0.3975536 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.1 , 0.4153296 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.1 , 0.8739824 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.2 , 0.1033935 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.2 , 0.8819158 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.3 , 0.4042518 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.3 , 0.8603656 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.4 , 0.1059688 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.4 , 0.3974646 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.5 , 0.409639 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.5 , 0.102049 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.5 , 0.3959828 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.6 , 0.3939414 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.6 , 0.4059474 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.6 , 0.8621342 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.7 , 0.1062328 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.7 , 0.859374 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.7 , 0.10309572 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.8 , 0.1046745 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.8 , 0.4149926 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.8 , 0.8848872 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.8 , 0.10410018 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.9 , 0.863633 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.9 , 0.8721558 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 1.0 , 0.104786 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.0 , 0.39854660000000003 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.1 , 0.8515478 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.1 , 0.3915252 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.2 , 0.4083544 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.4 , 0.4139158 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.6 , 0.8996314 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.7 , 0.9030798 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.8 , 0.8928518 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.8 , 0.4057364 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.8 , 0.8965322 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.9 , 0.894736 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 1.0 , 0.9017284 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.5; crossover_prob = 0.0 , 0.9580374 , 0.2
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 60; mutation_prob = 0.7; crossover_prob = 0.9 , 0.03988514 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.2 , 0.9011648 , 0.2
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.9; crossover_prob = 0.6 , 0.10833946 , 0.2
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.1 , 0.6467438 , 0.2
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.2 , 0.5549316 , 0.2
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.4 , 0.5722048 , 0.2
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.7 , 0.5503294 , 0.2
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.8 , 1.286912 , 0.2
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 1.0 , 1.324758 , 0.2
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 60; mutation_prob = 0.0; crossover_prob = 0.4 , 0.03655646 , 0.4
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 40; mutation_prob = 0.0; crossover_prob = 0.5 , 0.02579898 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.0; crossover_prob = 0.5 , 0.3842762 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.0; crossover_prob = 0.9 , 0.8272852 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.0; crossover_prob = 1.0 , 0.8814434 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.0 , 0.1081514 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.0 , 0.8739848 , 0.4
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.1 , 0.02634798 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.1 , 0.4014928 , 0.4
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.2 , 0.02618834 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.2 , 0.10333214 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.3 , 0.10192202 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.3 , 0.3814992 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.4 , 0.3893956 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.7 , 0.02887 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.7 , 0.3919404 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.8 , 0.4058078 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.8 , 0.8718228 , 0.4
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.9 , 0.02686976 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.9 , 0.1064874 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 1.0 , 0.10160216 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.0 , 0.4137408 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.1 , 0.4049042 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.3 , 0.4717348 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.5 , 0.4130002 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.5 , 0.9240228 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.7 , 0.4080422 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.9 , 0.415999 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.3; crossover_prob = 0.4 , 0.8979144 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.3; crossover_prob = 0.5 , 0.8999891999999999 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.5; crossover_prob = 0.2 , 0.8925748 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.6; crossover_prob = 0.6 , 0.9206884 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.7; crossover_prob = 0.2 , 0.8853086 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.8; crossover_prob = 0.0 , 0.4601778 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.8; crossover_prob = 0.7 , 0.8969392 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.8; crossover_prob = 0.8 , 0.8864458 , 0.4
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 60; mutation_prob = 0.8; crossover_prob = 1.0 , 0.03892646 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.8 , 0.03185486 , 0.4
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 1.0; crossover_prob = 0.5 , 0.8775628 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.0 , 0.595041 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.0 , 0.5680912 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.1 , 0.600839 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.3 , 0.5767234 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.6 , 0.543777 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.6 , 1.210046 , 0.4
inputfile = ssp_20.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.8 , 0.6017272 , 0.4
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.0; crossover_prob = 0.3 , 0.06360214 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.0; crossover_prob = 0.3 , 0.832915 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.0; crossover_prob = 0.5 , 0.3853136 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 40; mutation_prob = 0.0; crossover_prob = 0.8 , 0.02567572 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.1 , 0.1120924 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.2 , 0.3965346 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.2 , 0.02826932 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.3 , 0.02807668 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.4 , 0.03632994 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.4 , 0.10308138 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.7 , 0.8423708 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.1; crossover_prob = 0.9 , 0.03739964 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 20; mutation_prob = 0.1; crossover_prob = 0.9 , 0.10451452 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 40; mutation_prob = 0.1; crossover_prob = 0.9 , 0.4069676 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.1; crossover_prob = 1.0 , 0.3911262 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.2 , 0.962124 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.2; crossover_prob = 0.3 , 0.9473512 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.7 , 0.02766892 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 40; mutation_prob = 0.2; crossover_prob = 0.8 , 0.4351874 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.3; crossover_prob = 0.1 , 0.03680584 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.3; crossover_prob = 0.1 , 0.879138 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.3; crossover_prob = 0.7 , 0.9074192 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.3; crossover_prob = 0.8 , 1.0131402 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = two; population_size = 60; mutation_prob = 0.4; crossover_prob = 0.4 , 0.03844302 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.4; crossover_prob = 0.6 , 1.0297091999999999 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.5; crossover_prob = 0.1 , 0.0378521 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.6; crossover_prob = 0.9 , 0.8872904 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 40; mutation_prob = 0.7; crossover_prob = 0.5 , 0.02613158 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = two; population_size = 60; mutation_prob = 0.8; crossover_prob = 0.3 , 0.9129466 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.0 , 0.03791906 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 20; mutation_prob = 0.9; crossover_prob = 0.0 , 0.1112634 , 0.6
inputfile = ssp_10.txt; selection = roulette_selection; crossover = one; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.1 , 0.898549 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.2 , 0.03995754 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 40; mutation_prob = 0.9; crossover_prob = 0.3 , 0.0263108 , 0.6
inputfile = ssp_10.txt; selection = tournament_selection; crossover = one; population_size = 60; mutation_prob = 0.9; crossover_prob = 0.6 , 0.03794122 , 0.6
