inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.1 , 0.02013834 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.0 , 0.00470724 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.0 , 0.00464532 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.0 , 0.02136764 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.1 , 0.0046955 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.1 , 0.00455908 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.1 , 0.0209686 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.2 , 0.0046237000000000006 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.2 , 0.00458696 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.2 , 0.02075792 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.3 , 0.00456794 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.3 , 0.02082948 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.3 , 0.02072768 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.4 , 0.00457098 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.4 , 0.02056212 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.4 , 0.02163026 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.5 , 0.00461022 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.5 , 0.00462248 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.5 , 0.02099952 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.5 , 0.02051852 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.6 , 0.00450586 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.6 , 0.00448208 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.6 , 0.0203994 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.6 , 0.020743920000000002 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.7 , 0.0045913 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.7 , 0.004714 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.7 , 0.02027208 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.8 , 0.00462028 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.8 , 0.02030392 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.8 , 0.02050892 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.9 , 0.00452142 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.9 , 0.00459082 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.9 , 0.02049616 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.9 , 0.02045198 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 1.0 , 0.00467084 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 1.0 , 0.00460362 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 1.0 , 0.0202465 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.0 , 0.00445508 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.0 , 0.02088018 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.0 , 0.02062948 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.1 , 0.0045236799999999995 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.1 , 0.02081804 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.2 , 0.0044773999999999994 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.2 , 0.00478634 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.3 , 0.00455008 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.3 , 0.021035500000000002 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.5 , 0.00469088 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.5 , 0.00467672 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.5 , 0.02142148 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.6 , 0.00462138 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.6 , 0.0215569 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.6 , 0.02168154 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.7 , 0.00478424 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.8 , 0.00561658 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.9 , 0.00487562 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.0 , 0.00469656 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.0 , 0.0211352 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.1 , 0.02131336 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.3 , 0.021096820000000002 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.4 , 0.02129188 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.4 , 0.02149664 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.5 , 0.0045795 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.6 , 0.00468332 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.7 , 0.0212927 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.8 , 0.00483818 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.8 , 0.0210154 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.9 , 0.02118364 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.9 , 0.02125868 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 1.0 , 0.00473138 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 1.0 , 0.0048419 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 1.0 , 0.021263 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.0 , 0.0046603 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.2 , 0.00464606 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.2 , 0.02173048 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.3 , 0.00474906 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.3 , 0.02172624 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.6 , 0.00471022 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.9 , 0.02158556 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.0 , 0.02148476 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.0 , 0.020932740000000002 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.1 , 0.022303879999999998 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.4 , 0.00472438 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.4 , 0.00473482 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.4 , 0.02161218 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.5 , 0.02174894 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.7 , 0.02152386 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.5; crossover_prob = 0.8 , 0.02109792 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.0 , 0.00470894 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.0 , 0.0046297 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.1 , 0.02208012 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.1 , 0.02216438 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.2 , 0.0047234 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.5 , 0.02146962 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.6 , 0.00467104 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.7 , 0.00476414 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.7 , 0.02165992 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.6; crossover_prob = 0.9 , 0.00561236 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.7; crossover_prob = 0.1 , 0.022286 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.7; crossover_prob = 0.2 , 0.02284356 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.7; crossover_prob = 0.4 , 0.0047783800000000005 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.7; crossover_prob = 0.5 , 0.0223233 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.7; crossover_prob = 0.5 , 0.02190804 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.7; crossover_prob = 0.7 , 0.02161628 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.7; crossover_prob = 1.0 , 0.02196556 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.3 , 0.00476708 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.4 , 0.0047835 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.5 , 0.00480286 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.5 , 0.0223715 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.7 , 0.00486036 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.8 , 0.0050592400000000004 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.8 , 0.02236298 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.8; crossover_prob = 0.8 , 0.02213346 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.8; crossover_prob = 1.0 , 0.00494964 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.8; crossover_prob = 1.0 , 0.00497624 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.4 , 0.02236096 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.5 , 0.02246828 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.6 , 0.02268144 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.7 , 0.00495596 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.7 , 0.00489028 , 1
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.8 , 0.00486004 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.9; crossover_prob = 0.9 , 0.02197766 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 1.0; crossover_prob = 0.0 , 0.02160788 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 1.0; crossover_prob = 0.2 , 0.02200116 , 1
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.3 , 0.02029926 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.4 , 0.0190485 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.5 , 0.02011538 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.7 , 0.00470656 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.7 , 0.0046698 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.7 , 0.022174279999999998 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.7 , 0.0201754 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.8 , 0.00474198 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.8 , 0.02219156 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.9 , 0.00539794 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.9 , 0.02497266 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.0; crossover_prob = 0.9 , 0.02412716 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.0 , 0.02150168 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.1 , 0.0212433 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.2 , 0.02086188 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.4 , 0.00450668 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.1; crossover_prob = 0.7 , 0.02030218 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.1; crossover_prob = 1.0 , 0.02030002 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.1 , 0.0211767 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.2 , 0.02094938 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.3 , 0.00475934 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.3 , 0.020897680000000002 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.4 , 0.0046751 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.4 , 0.02098962 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.4 , 0.02135368 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.5 , 0.02116458 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.6 , 0.00483268 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.7 , 0.02115986 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.7 , 0.0212355 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.8 , 0.00487596 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.2; crossover_prob = 0.8 , 0.02157414 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.2; crossover_prob = 1.0 , 0.021059619999999998 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.0 , 0.00455298 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.1 , 0.02119256 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.2 , 0.021005060000000002 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.3 , 0.02135654 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.4 , 0.00465522 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.5 , 0.00466678 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.5 , 0.02127036 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.5 , 0.0211585 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.6 , 0.02119014 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.6 , 0.02117952 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.3; crossover_prob = 0.9 , 0.00473746 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.0 , 0.02137638 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.1 , 0.02148274 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = two; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.1 , 0.02168116 , 1.2
inputfile = ssp_5.txt; selection = tournament_selection; crossover = two; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.4 , 0.00474434 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 0.9 , 0.02165444 , 1.2
inputfile = ssp_5.txt; selection = roulette_selection; crossover = one; population_size = 10; mutation_prob = 0.4; crossover_prob = 1.0 , 0.02144194 , 1.2
